question,document
When is llm-zoomcamp going to be offered again?,bd31146b0e
Do we know the next start date for this course?,bd31146b0e
Is there a planned offering of the course in Summer 2027?,bd31146b0e
When should I expect the next run of llm-zoomcamp?,bd31146b0e
What’s the next time this course will be available?,bd31146b0e
Where should I start if I want to find the course videos and lesson materials?,31456f4b5f
"Do I need to check YouTube for the lectures, or is there a better place to look first?",31456f4b5f
How do I find the videos for each lesson in the LLM Zoomcamp course?,31456f4b5f
Is there an official repo page that points to the lecture videos for every lesson?,31456f4b5f
"If the YouTube playlist is out of date, where should I go to get the most current lesson links?",31456f4b5f
"Where do I follow the LLM Zoomcamp syllabus, homework deadlines, and my progress in one place?",20c5a1347e
Is there a course dashboard for checking the current cohort structure and upcoming assignments in LLM Zoomcamp?,20c5a1347e
How can I keep track of deadlines and homework for the LLM Zoomcamp course?,20c5a1347e
What platform should I use to monitor my progress during the LLM Zoomcamp?,20c5a1347e
"Does LLM Zoomcamp have a management site for syllabus updates, homework, and cohort info?",20c5a1347e
"Do we get live classes or office hours for every module, or is the course mostly pre-recorded?",d65e05bd7a
Where should I ask for help if I’m stuck on a module?,d65e05bd7a
"How do I know when a live session is happening, since it doesn’t seem to be every week?",d65e05bd7a
"Is there any paid option that gives more support, like regular Zoom office hours?",d65e05bd7a
Are the course materials available somewhere in the repo even without live sessions?,d65e05bd7a
Can I count my Bluesky posts toward learning in public credits?,dbf5369006
Is Bluesky accepted for the learning in public requirement?,dbf5369006
Do posts on Bluesky qualify for course credits if I'm learning in public?,dbf5369006
Would sharing my progress on Bluesky be enough for learning in public credits?,dbf5369006
Can I use Bluesky activity as proof for learning in public credits?,dbf5369006
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f
Where can I find the LLM Zoomcamp Telegram group?,054f3fd58f
Is there a Telegram link for course announcements in LLM Zoomcamp?,054f3fd58f
"Where should I go for LLM Zoomcamp updates, the Telegram channel or Slack?",054f3fd58f
"What do I use the Telegram channel for in LLM Zoomcamp, and where do I ask technical questions?",054f3fd58f
Why is my FAQ dataset record count different from the one shown in the videos?,e2d595f23c
"Does the FAQ data change over time, or should it stay the same as in the course?",e2d595f23c
I ran the code and got a different number of entries than the lecture — is that expected?,e2d595f23c
Why do the datasets in the exercises not match the video examples anymore?,e2d595f23c
"Are the FAQ questions updated live, or am I missing something in the setup?",e2d595f23c
"The homework deadline already passed, but the submission form is still open — can I still turn it in?",a9353fadfe
"If the due date is over and the form hasn’t closed yet, is my homework submission still accepted?",a9353fadfe
Can I submit my homework after the deadline as long as the submission page is still open?,a9353fadfe
What happens if I miss the deadline but the homework form is still available — can I submit it anyway?,a9353fadfe
"Is it okay to send in homework late if the submission form is still open, or does the deadline block it?",a9353fadfe
Can I still turn in homework after the deadline if the form is open?,cdc3b285e5
Do you ever give extra time or individual deadline extensions for homework?,cdc3b285e5
What happens if I miss a homework assignment — does it stop me from getting the certificate?,cdc3b285e5
Are late homework submissions accepted once the submission form is closed?,cdc3b285e5
"Do homework scores matter for the certificate, or are they only for the leaderboard?",cdc3b285e5
Does the name I enter for the certificate ever show up publicly or get shared with anyone outside the course?,651ba06b34
What name is used on the leaderboard if I set a different name for my certificate?,651ba06b34
Can I keep my real name off the public profile but still have it printed on the certificate?,651ba06b34
Where do I change the leaderboard nickname and the certificate name in the course settings?,651ba06b34
"Is the certificate name the same thing as the public display name, or are they separate fields?",651ba06b34
Why don’t we use LangChain in this course?,b7cdde6b25
What’s the reason for building RAG pieces manually instead of using a framework?,b7cdde6b25
"Is LangChain covered later, or are we supposed to avoid it entirely here?",b7cdde6b25
"Why does the course make us do prompting, retrieval, indexing, and evaluation ourselves?",b7cdde6b25
What’s the benefit of learning the basics first before using something like LangChain?,b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run responses.create?,f5df151c59
"What does it mean if responses.create fails with an ""Insufficient credits"" message?",f5df151c59
How can I fix the OpenAI error that shows up when using responses.create in Module 1 RAG?,f5df151c59
"Is the responses.create command broken, or is the error caused by low OpenAI account credits?",f5df151c59
Why am I seeing an OpenAI API Error: Insufficient credits when testing the RAG code?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53
"Does OpenAI API have any free quota, or do I need to add billing first?",152af39a53
How do I fix the 'You exceeded your current quota' error in the OpenAI API?,152af39a53
"After adding credits, do I need to generate a new API key before trying again?",152af39a53
Which model should I use in responses.create if my current model isn't available to my account?,152af39a53
How much should I expect to spend on the OpenAI API for this course?,554d0eb78b
"Do I need to put in a lot of money to use the OpenAI API, or is a small top-up enough?",554d0eb78b
"What’s the minimum I can recharge on OpenAI for the course, and is that usually enough?",554d0eb78b
"Will using the OpenAI API in this course cost more than a few cents, or is it usually very cheap?",554d0eb78b
"If I only add $5 to my OpenAI account, is that enough for the course exercises?",554d0eb78b
"Do I need to pay for the OpenAI API to finish the llm-zoomcamp homework, or are there free options I can use instead?",85384a18e5
"For Module 1 RAG, is an OpenAI subscription required, or can I complete the assignments with cheaper alternatives?",85384a18e5
Where can I find the list of OpenAI API alternatives for this course if I don't want to use paid OpenAI services?,85384a18e5
"Can I skip paying for OpenAI and still do the course homework, or does the course depend on it?",85384a18e5
Is there a GitHub page with free or low-cost API options for the llm-zoomcamp exercises?,85384a18e5
Why does the course recommend uv over pip and virtualenv for Python setup?,f81dea8f7e
What makes uv faster or more convenient than the usual Python tools?,f81dea8f7e
"Do I have to use uv in the course, or can I still stick with pip and virtualenv?",f81dea8f7e
"How does uv replace stuff like pip, poetry, pyenv, and twine in one tool?",f81dea8f7e
Why are the lessons built around uv if the classic tools still work fine?,f81dea8f7e
Why does Jupyter say my OPENAI_API_KEY is missing even though I added it to .env?,86d99bbf21
Do I need python-dotenv for the API key to work in the notebook?,86d99bbf21
Where should I call load_dotenv() before creating the OpenAI client?,86d99bbf21
What’s the right way to load the .env file in a Jupyter notebook?,86d99bbf21
Could this be happening because I named the env var something other than OPENAI_API_KEY?,86d99bbf21
How do I keep my API keys in a .env file and read them in Python with dotenv?,233dabe430
What’s the easiest way to load OPENAI_API_KEY or GROQ_API_KEY from an env file?,233dabe430
Do I need to install anything before using a .env file for API keys in this course?,233dabe430
Should .env be added to gitignore when storing secret keys?,233dabe430
How can I access keys like GEMINI_API_KEY from environment variables in my script?,233dabe430
Can I do the homework with a different LLM provider than the one suggested?,ee43413718
"Is the recommended model required for the assignment, or can I swap it out?",ee43413718
What providers are okay to use for the homework besides the default one?,ee43413718
"Do I need a paid API to finish the RAG homework, or can I use free/local options?",ee43413718
"If I use another model provider, what kind of code changes should I expect?",ee43413718
How can I use Gemini in the Module 1 notebook with the OpenAI-style endpoint instead of the usual setup?,0ae5c221b9
What do I need to configure before calling Google Gemini through OpenAI client code in the RAG notebook?,0ae5c221b9
How do I write the helper function for Gemini if I want to load the key from a .env file and send chat messages?,0ae5c221b9
Why does the notebook code need changes when switching from Responses format to chat completions with Gemini?,0ae5c221b9
Which model name and base URL should I use if I want to run Gemini from the course notebook using the compatible API?,0ae5c221b9
"How do I install Ollama on macOS, Windows, or Linux?",1d0b969028
"After installing Ollama, what command should I run to get the local model working?",1d0b969028
How can I check if the Ollama server is running on my machine?,1d0b969028
What do I need to install in Python to use Ollama from code?,1d0b969028
Can you show a simple Python example for sending a prompt to Ollama and printing the reply?,1d0b969028
"Why am I getting a connection refused error when I try to prompt my Ollama RAG setup, and how do I fix it?",c6fc2d4d11
My homework is failing with connection refused from Ollama—do I need to restart the server somehow?,c6fc2d4d11
What should I do if Ollama stops responding in the notebook and I get a refused connection error?,c6fc2d4d11
Is there a command to bring Ollama back up when the RAG prompt shows connection refused during the assignment?,c6fc2d4d11
"After restarting my notebook, Ollama seems dead and my prompts fail—what’s the proper way to relaunch it?",c6fc2d4d11
Why does my `tiktoken` token count come out lower than what the OpenAI API says?,bf0403d21b
Is OpenAI adding extra chat-format tokens beyond the text I send?,bf0403d21b
How many hidden tokens does a `chat.completions.create()` message usually add?,bf0403d21b
Why do I see a few more tokens in the API response than in my local count?,bf0403d21b
"Can newlines, spaces, or weird Unicode characters change the token count?",bf0403d21b
How can I keep my API key set for a project without typing export every time I open a new terminal?,8b2f5e9d04
What’s the easiest way to auto-load my OpenAI key when I cd into the right folder?,8b2f5e9d04
"Can I use something like direnv for .env files, and is there a tool that works across shells and OSes?",8b2f5e9d04
What should I put in my setup so secret keys don’t get committed to GitHub by accident?,8b2f5e9d04
"If I’m running a Python script, what’s the simple way to load variables from a .env file automatically?",8b2f5e9d04
How do I decide the best field weights for minsearch without just guessing?,87d4ea4e08
"Is there a proper way to tune search field weights, or is it mostly trial and error?",87d4ea4e08
What’s the best method to compare different field weights in a search engine?,87d4ea4e08
Should I build a test set before changing field weights for retrieval?,87d4ea4e08
Which metrics should I use to see if my field weighting actually improves search results?,87d4ea4e08
What should I do to clean documents before using them for RAG?,649c280e6d
"Is it a good idea to remove headers, footers, OCR mistakes, and other noisy text from my docs?",649c280e6d
"Do I need to keep things like titles, dates, section names, or speaker labels when preparing data for RAG?",649c280e6d
What format should I save my source documents in so they’re easier to chunk and search later?,649c280e6d
"How can I chunk documents for RAG without losing important context, and should I keep metadata too?",649c280e6d
"Why does uv show ""Failed to hardlink files"" in GitHub Codespaces, and do I need to worry about it?",acf8fa5356
"If uv can’t hardlink from the cache in Codespaces, will the install still work or does it break the package setup?",acf8fa5356
How can I stop the uv hardlink warning for just my current terminal session?,acf8fa5356
What do I need to add to my shell config so uv always uses copy mode instead of trying to hardlink?,acf8fa5356
Is there an official place to read more about uv’s link mode and this hardlink/copy behavior?,acf8fa5356
My code says `dotenv` is not recognized — what package do I need to install?,0bed1f48da
How do I fix the `dotenv` import error in Python for the RAG module?,0bed1f48da
What should I add with `uv` if `dotenv` isn’t available in my environment?,0bed1f48da
"After installing the dotenv package, how do I load the `.env` file in Python?",0bed1f48da
Is `python-dotenv` the right dependency when `dotenv` is missing?,0bed1f48da
Can I do the course on my own laptop instead of using Codespaces?,aa310de435
"Is Codespaces required for the module, or can I set everything up locally?",aa310de435
What tools do I need if I want to run the course on my machine?,aa310de435
"If I skip Codespaces and work locally, do I need to keep track of my setup somehow?",aa310de435
Why does the course recommend Codespaces if local setup is allowed?,aa310de435
"If I keep coding in GitHub Codespaces but never commit, where does the code actually live?",610ccb23c0
Will my work disappear in Codespaces if the session stops or the VM gets deleted?,610ccb23c0
Do I need to commit regularly in Codespaces even if my files are already saved there?,610ccb23c0
"Is code in Codespaces stored in my GitHub repo automatically, or only inside the Linux VM?",610ccb23c0
What’s the safest way to avoid losing changes when using Codespaces?,610ccb23c0
Why does WSL2 say the model needs more memory even though my PC has enough RAM?,f3dd94f323
How do I increase the RAM WSL2 can use on Windows?,f3dd94f323
Where should I put the .wslconfig file to give WSL2 more memory?,f3dd94f323
What should the .wslconfig contents look like for setting WSL2 memory to 8GB?,f3dd94f323
How can I check in WSL whether the new memory limit was applied?,f3dd94f323
"My GitHub Codespace is stuck on ""Finishing up"" and won’t reconnect — what’s the usual fix?",830f3d2018
"If my Codespace won’t open in VS Code desktop, is there another way to get it working?",830f3d2018
Why does it look like my setup disappeared after a rebuild or a new Codespace was created?,830f3d2018
What should I do so I don’t lose my work if I have to delete or recreate the Codespace?,830f3d2018
"If Codespaces keeps acting flaky, is there a recommended fallback for doing the course?",830f3d2018
"Can I use a different LLM provider instead of OpenAI for the course exercises, or is it OpenAI-only?",c6ff9083c0
"If I switch to something like Groq, OpenRouter, DeepSeek, or Gemini, what do I need to change in the code?",c6ff9083c0
"Are locally running models like Ollama or LM Studio okay for the RAG module, or do I need an external API?",c6ff9083c0
What if the provider used in the course is blocked in my region — is there another workaround besides changing providers?,c6ff9083c0
Is there a list of OpenAI alternatives or local model tools recommended somewhere in the course repo?,c6ff9083c0
"In agentic RAG, what exactly counts as a tool or function the model can use?",c296ea5a21
"Are tools and functions actually different things, or just two names for the same idea?",c296ea5a21
When does the model decide to call a tool in agentic RAG?,c296ea5a21
"What kind of outside help can a tool provide, like search, database queries, or API calls?",c296ea5a21
How is tool use in agentic RAG different from the fixed retrieval step in basic RAG?,c296ea5a21
What free models can I use if I need tool calling support for development?,0d74a3616f
"Does Groq have any models that support tools, like Deepseek R1 or Llama 4?",0d74a3616f
"Besides OpenAI, which other providers let me do function calling or tool use?",0d74a3616f
"If I switch from OpenAI to Groq, Mistral, Gemini, or Ollama, do I need to change my code?",0d74a3616f
Where can I find the docs for Groq tool use and supported schemas?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I switch from OpenAI to another model like Mistral or Groq?,9e7b3f0c25
"Can I use `client.responses.create(...)` with Gemini, Mistral, or other non-OpenAI providers, or is that only for OpenAI models?",9e7b3f0c25
What should I use instead of `response.output` if my provider doesn’t support the Responses API?,9e7b3f0c25
How do I rewrite my code to work with `chat.completions.create(...)` and get the assistant text back properly?,9e7b3f0c25
Do I need to change my tools schema when I move from OpenAI’s API to a different provider?,9e7b3f0c25
How should I define the weather tool JSON in Azure OpenAI so I don't get the missing tools[0].function error?,b9c7c6bb34
What do I need to change in my get_weather_tool config to make the function tool format valid?,b9c7c6bb34
"Why am I seeing Error code 400 about tools[0].function missing, and what's the correct tool schema?",b9c7c6bb34
Can you show the right JSON structure for a get_weather function tool in Azure OpenAI?,b9c7c6bb34
My Azure OpenAI request fails with missing required parameter tools[0].function — what should the tool object look like?,b9c7c6bb34
"Why does toyaikit give a 404 with Groq or another non-OpenAI model, and what should I switch to instead?",0224d980b3
How can I make toyaikit work with Groq using the OpenAI-compatible API base URL?,0224d980b3
What’s the right way to use toyaikit with Anthropic models like Claude instead of OpenAI?,0224d980b3
"In toyaikit, when should I use `runner.loop(prompt=...)` versus `runner.run()`?",0224d980b3
"If an Anthropic or Groq model still returns 404, could it be the model name or endpoint, and what model IDs are safe to try?",0224d980b3
Where do I actually find the Module 1 homework questions for this course?,53f15299b6
Is the homework in the GitHub repo or only on the course platform?,53f15299b6
What link should I use for the 2026 Module 1 homework instructions?,53f15299b6
"Do I need to check the platform as well, or is GitHub enough for the homework?",53f15299b6
Where can I get both the Module 1 materials and the homework sheet?,53f15299b6
Why does my filtered query keep returning an empty list in HW Q3?,83da208a64
Could this be because I indexed the data in the wrong order for the homework?,83da208a64
Do I need to set the index settings before loading the documents?,83da208a64
What should I check if my query works but filtering gives back no results?,83da208a64
How do I fix empty results after applying filters on the homework data?,83da208a64
"Why do I get a 402 from OpenRouter when I call responses.create, and how do I stop it?",cfb07a27d5
Is there a way to set a smaller max_output_tokens value in responses.create so my free key doesn’t fail?,cfb07a27d5
"In Module 1 homework, where should I add max_output_tokens=1024 in rag_helper.py?",cfb07a27d5
How do I pass max_output_tokens when using ToyAIKit’s OpenAIClient for Q6?,cfb07a27d5
"If I still see the 402 error, what should I check in my .env, model name, and OpenRouter key settings?",cfb07a27d5
"In the Module 1 homework, when people say point RAG at the chunk index, what does that actually mean?",b4300adeb1
Should I build the search index from the original documents or from the split chunks in the homework?,b4300adeb1
"If I have both `documents` and `chunks`, which one should I pass to `index.fit()`?",b4300adeb1
Why does the homework want retrieval to use chunks instead of the full docs?,b4300adeb1
"Does RAG in this assignment send the whole document to the model, or only the matching chunks?",b4300adeb1
"For the module 1 homework, do the answers have to match the multiple-choice options exactly, or can I pick the nearest one if my number is a bit off?",5e4ca64cb5
"If my calculated numeric result is close to one of the homework choices but not identical, should I still select that option?",5e4ca64cb5
What should I do when my homework answer is slightly different from the listed options because of rounding or a different dataset version?,5e4ca64cb5
"Is it normal for homework outputs to vary a little due to filtering, floating-point math, or model/provider differences?",5e4ca64cb5
"When my result is way off from all the answer choices, what things should I check first in the homework instructions?",5e4ca64cb5
"If the homework prompt is confusing, where should I check first?",7d3a2e3505
"For module 1, what links do I need to read before doing the assignment?",7d3a2e3505
Why does the homework sometimes look different from the lesson walkthrough?,7d3a2e3505
What should I do if I still don't understand the task after reading the instructions?,7d3a2e3505
"When I ask for help in Slack, what kind of info should I paste instead of sending screenshots?",7d3a2e3505
How can I check token usage for the Module 1 homework when I'm using another LLM provider?,fe8fed31e6
Where should I look in the response to find the number of input tokens?,fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in this homework?",fe8fed31e6
What should I do if my provider doesn't give token usage in the response?,fe8fed31e6
"For the multiple-choice questions, what if my token count doesn't match any exact option?",fe8fed31e6
"Why is my homework repo link getting rejected with a 404 or 500, and what should I check first?",bcdb8740ce
Do I need to make the GitHub repository public for the submission checker to open it?,bcdb8740ce
"Should I submit the `.git` URL, or the normal repo link without it?",bcdb8740ce
What kind of URL mistake can cause the checker to see a non-200 response?,bcdb8740ce
How can I quickly test whether my repo URL is reachable by the grader?,bcdb8740ce
"What exactly are embeddings in vector search, and why do they turn text or other non-numeric data into numbers?",69430a79a8
How do embeddings keep the meaning and context of data when converting it into numerical form?,69430a79a8
Why should similar inputs produce similar vectors in an embedding model?,69430a79a8
How does the distance between embedding values help with semantic similarity search?,69430a79a8
"What’s the connection between embeddings, vector space models, and dimensionality reduction?",69430a79a8
How can I get rid of the warning about multi-qa-mpnet-base-dot-v1 being made on sentence-transformers v3.0.0 beta?,aa3f597424
Is there a way to suppress the sentence-transformers warning when using multi-qa-mpnet-base-dot-v1?,aa3f597424
What do I need to install or upgrade to stop that model version warning from showing up?,aa3f597424
"Why am I seeing the message that multi-qa-mpnet-base-dot-v1 was made on sentence-transformers v3.0.0 beta, and how do I disable it?",aa3f597424
What’s the fix for the warning about sentence-transformers version compatibility with multi-qa-mpnet-base-dot-v1?,aa3f597424
Why did the lesson just use .dot(...) for similarity instead of explicitly doing cosine similarity?,92cd22cada
"Are the OpenAI embeddings already unit length, or do we need to normalize them first?",92cd22cada
Why does the homework say to normalize vectors if the lesson seemed to skip that step?,92cd22cada
"Is dot product the same as cosine similarity for every embedding model, or only some of them?",92cd22cada
"For TF-IDF plus SVD embeddings, do I need to normalize before comparing vectors with dot product?",92cd22cada
"For vector search, do I need to embed just the answer text, the question, or both together?",5c4a8d2e60
"Which embedding setup usually works best: question only, text only, or question plus text?",5c4a8d2e60
Why would embedding only the answer still work for matching user questions?,5c4a8d2e60
Is there any downside to using question + text in the vector index?,5c4a8d2e60
How should I decide which embedding approach to use for my dataset?,5c4a8d2e60
How does cosine similarity measure how close two text vectors are?,db78580409
Why is cosine similarity commonly used in document or text comparison?,db78580409
"What does a cosine similarity score of 1, 0, or -1 actually mean?",db78580409
Can cosine similarity be used with word count or TF-IDF vectors?,db78580409
What exactly is the angle between vectors telling us in cosine similarity?,db78580409
Why does cosine similarity turn into a simple dot product after normalization?,95feb4e75b
How come we can use matrix multiplication to compare one query with all document embeddings?,95feb4e75b
"If vectors are already unit length, why do we not need to divide by their norms anymore?",95feb4e75b
What is the reason cosine similarity can be computed so efficiently with embeddings?,95feb4e75b
Why does normalizing the query and documents make the similarity calculation much simpler?,95feb4e75b
"For Module 2, do I actually need to make a brand-new GitHub repo, or is spinning up another codespace enough?",1e829a8c6f
Why does the course recommend a separate codespace for the vector search part instead of reusing the one from Module 1?,1e829a8c6f
"If I set up Module 2 in a codespace and later delete it, will my work still be saved somewhere?",1e829a8c6f
"Do I create the Module 2 environment from my current repo, or is there a different repo setup step I’m missing?",1e829a8c6f
What’s the easiest way to keep the heavier vector-search stuff isolated from my earlier course work?,1e829a8c6f
"Why does download.py get stuck at 0% when pulling model.onnx from HuggingFace, and how can I fix it?",29b69fbe0b
"If the model download hangs forever in download.py, is there a manual way to get model.onnx and make the script continue?",29b69fbe0b
What should I do when the HuggingFace download for model.onnx never moves past 0%?,29b69fbe0b
Can I bypass the slow download in download.py by grabbing model.onnx in the browser and putting it in the right folder?,29b69fbe0b
"Why is my model.onnx download from HuggingFace so slow or blocked, and will download.py skip it if the file is already there?",29b69fbe0b
Why can the dot-product version and the loop version of vector search give slightly different scores?,e889793af9
"I tried comparing `X.dot(v_query)` with a manual loop, and `np.allclose` says they don't match — is that a bug?",e889793af9
How come the vector search results are not exactly identical when I compute them with NumPy versus a Python for-loop?,e889793af9
Is it normal that two ways of doing the same dot product return tiny differences in the last decimals?,e889793af9
What’s the right way to check if the matrix-based and loop-based vector search outputs are the same?,e889793af9
"For Module 2 homework Q2, my cosine similarity doesn't match any answer choice — is this usually because I used the wrong embedding model?",eaa17a9dc6
"In the homework, should I be using sentence-transformers, or do I need the ONNX Embedder from embedder.py instead?",eaa17a9dc6
"Could the cosine similarity be off because I'm embedding the wrong field, like the filename or full row, instead of the page content?",eaa17a9dc6
"For Q2, am I supposed to compare the page vector with the query vector from Q1, and are those vectors already normalized?",eaa17a9dc6
"If my cosine value is only a little different from the options, should I just choose the nearest one?",eaa17a9dc6
How do I set up Gemini API key for Kestra so the flows can use it?,3860e5fe8b
Do I need both a normal Gemini key and a SECRET_GEMINI_API_KEY in Kestra?,3860e5fe8b
Why does Kestra want the API keys base64 encoded before I start it?,3860e5fe8b
What env vars should I export for OpenAI and Tavily in the orchestration module?,3860e5fe8b
How do I reference a stored secret inside a Kestra flow YAML?,3860e5fe8b
"Why does Kestra Copilot keep saying it can only help with creating Kestra flows, even though I set up Gemini before?",04440cab11
What variable does Kestra AI Copilot actually read for Gemini — is it the plain GEMINI_API_KEY or the secret one used in flows?,04440cab11
How do I restart Kestra after setting the Gemini key so the Copilot starts working?,04440cab11
"If the Copilot still refuses after I export the key, what should I check first: typo, missing env var, or quota issues?",04440cab11
"Do I need two different Gemini variables in this setup, one for Copilot and another for the flows?",04440cab11
Why does my Kestra flow say the Gemini key is missing even though I already set SECRET_GEMINI_API_KEY?,c8ca21af33
Could the base64 export be broken if I used echo instead of echo -n for the API key?,c8ca21af33
"Do I need to restart Kestra after changing the environment variables, or is the new key picked up automatically?",c8ca21af33
"When I use the secret in a flow, should I write secret('SECRET_GEMINI_API_KEY') or just secret('GEMINI_API_KEY')?",c8ca21af33
Is it better to keep the keys in a .env file and pass it to docker compose instead of exporting them in the shell?,c8ca21af33
Why use an orchestrator like Kestra instead of just running everything in a notebook?,193612db63
What problems does Kestra solve that a simple script or notebook doesn't handle well?,193612db63
"How does orchestration help with things like retries, scheduling, and monitoring in AI workflows?",193612db63
"In this module, why is Kestra used for AI Copilot, RAG, and agents instead of only for workflow automation?",193612db63
"Can I switch between OpenAI, Gemini, or Anthropic in a Kestra flow without rewriting the whole thing?",193612db63
Why do I get JSONDecodeError: Expecting value when I try to parse the LLM output for ground-truth questions?,a3c7e1b4f9
How can I make the model return only valid JSON instead of adding markdown fences or extra text?,a3c7e1b4f9
What does the code look like for forcing JSON output with OpenAI when generating questions?,a3c7e1b4f9
Should I also change the prompt wording if I already use response_format=json_object?,a3c7e1b4f9
Is there a similar JSON-only option for other providers like Gemini or Groq?,a3c7e1b4f9
Why does my Jupyter kernel keep crashing when I try to embed the ground-truth set?,b8f2d6a30c
What can I do if loading the embedding model in the notebook runs out of memory on a small machine?,b8f2d6a30c
Is there a smaller sentence-transformers model I can use instead of the default embedder?,b8f2d6a30c
Will changing to a lighter embedding model affect my hit-rate or MRR results?,b8f2d6a30c
Can I avoid the notebook memory issue by embedding the data in a separate script or in batches?,b8f2d6a30c
Why am I still getting rate-limit errors with Gemini even after adding a sleep between calls?,c1e9f4b820
What’s the easiest way to generate the whole ground-truth dataset without hitting these API limits?,c1e9f4b820
"Can I just reduce the number of threads to avoid blowing through the quota, and what pool size should I use?",c1e9f4b820
"Is Groq a good free alternative here, and which model should I try for this task?",c1e9f4b820
"If the run gets cut off by quota, how do I continue without starting over from scratch?",c1e9f4b820
How do I fix the WinError 126 error when PyTorch can’t load fbgemm.dll on Windows?,15e931476c
Is installing the Visual C++ Redistributable enough to solve the missing fbgemm.dll module issue?,15e931476c
"Do I need Visual Studio itself for the torch fbgemm.dll error, or is Visual Studio Code enough?",15e931476c
"What should I install if I get ""The specified module could not be found"" for torch\lib\fbgemm.dll in Windows?",15e931476c
"Why does PyTorch fail with OSError: [WinError 126] on Windows, and what’s the recommended fix?",15e931476c
"Why do I get `psycopg2.OperationalError: could not translate host name ""postgres"" to address` when I run `python prep.py`?",4b65d5542d
What should I change in my `.env` file if the database host name `postgres` is not resolving?,4b65d5542d
How can I fix the host error in `prep.py` when Postgres works locally but the script still fails?,4b65d5542d
Is there a setting I need to update so `POSTGRES_HOST` points to the right machine instead of `postgres`?,4b65d5542d
What’s the quick fix for the `No such host is known` error in Module 5 monitoring?,4b65d5542d
How do I make Pandas stop cutting off long text in a column?,641aedbbf5
What’s the Pandas setting to show the full Explanation text in the offline-rag-evaluation notebook?,641aedbbf5
"Why does Pandas only show part of a long string, and how can I see the whole thing?",641aedbbf5
How can I display the entire judge LLM explanation instead of the shortened version in a DataFrame?,641aedbbf5
"Is there a way to change Pandas so a text column shows all characters, not just the first 50?",641aedbbf5
How can I normalize vectors stored in a Pandas DataFrame column?,5039707c1a
What’s a simple way to normalize each vector in a Pandas Series?,5039707c1a
Is there a quick Python lambda for normalizing vectors in a dataframe column?,5039707c1a
How do I create a new column with normalized vectors from an existing one in Pandas?,5039707c1a
Can I use NumPy norm with apply() to normalize vectors in a DataFrame?,5039707c1a
How do I calculate the 75th percentile for a column in a Pandas DataFrame?,b4c8ac5a0c
