question,document,answer_score,answer_reasoning,trajectory_score,trajectory_reasoning
"Do I need to wait for a start date, or can I just jump into the LLM Zoomcamp materials whenever I want?",04919992b3,good,"The agent’s answer matches the ground truth on the key point: you can start anytime and do not need to wait for a start date. It also correctly mentions that videos and GitHub materials are available, and it gives the same basic workflow for watching videos, working through code, reading homework instructions, and submitting before the deadline. It is slightly less complete because it omits the specific docs/repository links and the note that homework is similar but may use a different dataset or slightly different task. However, the core answer is correct.",good,"The search query was relevant to the user’s question and included the key idea of starting anytime with LLM Zoomcamp materials. Only one search call was made, which is reasonable for a straightforward FAQ-style question. The tool call appears to have supported the final answer adequately."
"What’s the usual weekly routine for this course — video first, then notebooks, then homework?",04919992b3,good,"The agent’s answer matches the ground truth on the core point: the workflow is video first, then notebooks/code, then homework, with submission before the deadline. It also correctly confirms the student’s understanding. It omits the extra context about starting anytime, the docs/repository links, and that homework may use a different dataset or slightly different task, but those omissions do not change the main answer to the question.",good,"The single search query was relevant to the question and included the key concepts of video, notebooks, and homework order. One search was reasonable for this simple factual question, and there were no unnecessary duplicate calls. The tool call supported the final answer."
Where are the deadlines and homework instructions posted for the course?,04919992b3,good,"The agent’s answer matches the key point in the ground truth: deadlines are listed on the LLM Zoomcamp course management platform, and homework instructions are on GitHub. It omits some extra context from the original answer, but the essential information is present and correct.",good,"The search query was relevant and included the main concepts from the question (deadlines, homework instructions, course). Only one search was needed, and the resulting answer was supported by that call."
"Is the homework basically the same as the lesson exercises, or does it use different data/tasks?",04919992b3,good,"The agent answer matches the ground truth on the core point: homework is similar to the lesson exercises but typically uses different data or slightly different tasks. It also correctly conveys that it is not the exact same exercises/data. The extra note about checking GitHub homework instructions and the course platform is not contradictory to the original answer, though it is not part of the direct answer to the question.",good,"The single search query is relevant and contains key concepts from the question (homework, lesson exercises, same data/tasks, different data). One search is reasonable here, and there were no unnecessary duplicate calls. The tool call supports the final answer adequately."
How do I find myself on the leaderboard if I can’t see my name there?,c2903069a0,good,"The agent’s answer matches the ground truth. It correctly says the user may have been assigned a random display name and instructs them to use the “Jump to your record on the leaderboard” link. It also mentions “Edit Course Profile” and accurately explains the two fields: public display name and official name for the certificate. This preserves the key information from the original answer, even though it is paraphrased.",good,"The single search query is relevant and contains the core issue: not seeing one’s name on the leaderboard and finding oneself. One search was sufficient here, and there were no unnecessary duplicate calls. The tool use reasonably supported the final answer."
Why does the leaderboard show some random name instead of my real one?,c2903069a0,good,"The agent’s answer matches the ground truth well. It correctly explains that the leaderboard shows a random default display name, gives an example like “Lucid Elbakyan,” and tells the user to edit the course profile. It also correctly distinguishes between the public/display name and the official certificate name. The only slight mismatch is that the ground truth specifically mentions clicking the ""Jump to your record on the leaderboard"" link to locate the entry and explicitly notes that the second field is mandatory if you do not want the random name on the certificate, but these omissions do not materially affect correctness.",good,"The search query was relevant and contained key terms from the question such as leaderboard, random name, real name, and display name. Only one search was used, which is reasonable because the question is straightforward and the resulting answer was accurate. No unnecessary duplicate calls were made."
Where can I check what display name I’m using for the course?,c2903069a0,good,"The agent answer matches the core instruction from the ground truth: click “Edit Course Profile” to check the display name. It also correctly explains the first and second fields. It omits some extra details about the random default name and the leaderboard link, but those are not essential to the question asked.",good,"The single search query was relevant and included the key phrase 'display name' and 'course'. One search was sufficient, and there were no unnecessary duplicate calls."
Can I change the name that appears on the leaderboard and in the course profile?,c2903069a0,good,"The agent’s answer matches the ground truth. It correctly says that in Edit Course Profile, the first field is the display name/nickname shown on the leaderboard, and the second field is the official name used for the certificate and course profile. This preserves the key distinction and directly answers the user’s question about changing the name on the leaderboard and in the course profile.",good,"The single search query was relevant to the question and contained important keywords like change name, leaderboard, and course profile. Only one search was needed, and it supported the final answer without unnecessary extra calls."
How do I make sure the name on my certificate is my official name and not the default one?,c2903069a0,good,"The agent’s answer matches the ground truth. It correctly says to use Edit Course Profile and change the second field to the official name from an ID/passport, and that this is the name printed on the certificate. It also correctly distinguishes the first field as the public/display name. This contains the key information from the original answer, though it omits the note about the automatically assigned default name and the leaderboard link, which are not essential to the core question.",good,"The search query was relevant and included important keywords like certificate, official name, and default name. Only one search call was made, which is reasonable for this simple question. The tool use supports the final answer and does not include unnecessary duplicate searches."
Can I do the course on my own schedule and still get the certificate?,69d122f12e,good,"The agent answer matches the ground truth. It correctly states that a certificate is only available if the course is completed with a live cohort, and that self-paced learners do not receive certificates because they must peer-review 3 capstone projects while the course is actively running. This preserves the key details and meaning of the original answer.",good,"The single search query was relevant to the user's question and included key concepts like self-paced and certificate. One search call is reasonable here, and no unnecessary duplicate calls were made. The tool use appropriately supported the final answer."
"If I take the self-paced version, will I still receive a certificate at the end?",69d122f12e,good,The agent’s answer matches the ground truth. It correctly says that self-paced students do not receive a certificate and that certificates are only awarded for those who complete the course with a live cohort. It also includes the key reason: peer-reviewing capstone projects is only possible while the course is running.,good,"The tool call was relevant and contained key terms from the question ('self-paced version', 'certificate'). A single search was sufficient, and there were no unnecessary duplicate calls. The search supported the final answer."
Do certificates count for students who join later and study without the live cohort?,69d122f12e,good,"The agent’s answer matches the ground truth. It correctly says certificates are only awarded when finishing with the live cohort, and that self-paced/later-joining students can still take the course but won’t receive a certificate because peer-review is required while the course is running. This preserves the key information from the original answer.",good,"The single search query was relevant and contained the main keywords from the question: certificates, students join later, live cohort, self-paced. One search is reasonable here, and there were no unnecessary or duplicate calls. The tool use appropriately supported the final answer."
Why isn’t there a certificate for self-paced learners in this course?,69d122f12e,good,"The agent’s answer matches the ground truth: it says certificates are only for live cohort completers, not self-paced learners, and explains that the requirement is peer-reviewing 3 capstones, which is only possible while the course is running. This contains the key information from the original answer.",good,"The search query was directly relevant to the question and included key terms like certificate and self-paced learners. Only one search was used, which is reasonable since it was sufficient to support the final answer. No unnecessary or duplicate tool calls were made."
Is the certificate only available when the course is running live and peer review is open?,69d122f12e,good,"The agent’s answer matches the key information from the ground truth: certificates are only available for the live cohort, not self-paced mode, and the reason is that learners must peer-review 3 capstone projects while the course is running. Although it begins with a brief 'Yes' instead of 'No,' the rest of the answer correctly explains the condition in a way that aligns with the original FAQ answer. Overall, the substantive content is correct.",good,"The tool call was relevant and used appropriate keywords from the question ('certificate', 'live', 'peer review open'). Only one search was needed, and there were no unnecessary or duplicate calls. The search supports the final answer reasonably well."
Can I still get the course certificate if I skipped the first homework?,9f689c185f,good,"The agent answer matches the ground truth. It correctly states that skipping the first homework does not prevent getting the certificate, that passing the Capstone project is required, and that homework is optional but recommended and affects leaderboard rank. This preserves the key information from the original answer.",good,"The search query was relevant to the question and included key concepts like certificate and homework requirement. Only one search call was made, which is reasonable since the answer was straightforward and the query was sufficiently targeted. The tool call supported the final answer."
"Is the first homework required for the certificate, or is the final project enough?",9f689c185f,good,"The agent answer matches the ground truth. It correctly states that the first homework is not required, that passing the Capstone/final project is sufficient for the certificate, and that homework is optional but recommended and contributes to leaderboard rank.",good,"The single search query was relevant and contained the key concepts from the question: certificate, homework, and final project. One search was sufficient, with no unnecessary duplicate calls."
Do I need to complete all homework assignments to receive the certificate?,9f689c185f,good,"The agent's answer matches the ground truth. It correctly says homework is not mandatory for the certificate, and that passing the Capstone project is required. It also includes the extra detail that homework is recommended and counts toward leaderboard points, which is consistent with the original answer.",good,"The search query was relevant and included key concepts from the question such as certificate and homework assignments. Only one search was used, which is reasonable for this simple FAQ-style question, and the tool call supported the final answer."
"If homework isn't mandatory, what do I need to pass to get certified?",9f689c185f,good,"The agent's answer matches the ground truth. It correctly states that passing the Capstone project is required for certification and that homework is not mandatory, while also noting homework is recommended and contributes to leaderboard points.",good,"The tool call was relevant and used appropriate keywords from the question, focusing on homework, certification, and passing requirements. Only one search was needed, which is reasonable and efficient."
Does missing homework stop me from earning the certificate in this course?,9f689c185f,good,"The agent’s answer matches the ground truth. It correctly states that homework is not mandatory, that passing the Capstone project is required for the certificate, and that homework points only affect leaderboard rank. This preserves the key meaning of the original answer.",good,"The single search query is relevant to the question and includes core keywords like homework and certificate. One search was sufficient, with no unnecessary duplicate calls, and it supported the final answer."
Why does the homework content keep changing before it’s released?,96286b4be4,good,"The agent’s answer matches the ground truth closely. It correctly explains that `[DRAFT]` means the homework is not ready, that readiness requires both the form to be open and the title not to contain `[DRAFT]`, and that content may still change before release. The wording about working on it early being allowed is slightly different from the original’s ‘at your own risk,’ but it preserves the same meaning.",good,"The single search query is relevant to the question and uses key terms about homework content changing before release. Only one tool call was made, which is reasonable, and there were no unnecessary duplicate searches. The tool call supports the final answer."
What does it mean when a homework title has [DRAFT] in it?,96286b4be4,good,"The agent’s answer matches the ground truth closely. It correctly says that `[DRAFT]` means the homework is not ready yet, and it includes the two conditions for readiness: the homework form must be open and the title must not contain `[DRAFT]`. It also captures the warning that the content may still change and that working on it early is at the user’s own risk. This is consistent with the original answer.",good,"The single search query was relevant and contained the key keyword `[DRAFT]` along with the homework context. One search was sufficient, and there were no unnecessary or duplicate tool calls. The tool use reasonably supported the final answer."
How can I tell if a homework assignment is actually ready?,96286b4be4,good,"The agent’s answer matches the ground truth. It correctly states that a homework assignment is ready only when the homework form is open and the title does not contain [DRAFT]. It also includes the warning that if [DRAFT] is present, the assignment is not ready and the content may still change, which aligns with the original answer. No important information is missing or contradicted.",good,"The single search query was relevant to the question and included key terms like homework, assignment, and ready. One search was sufficient, and there were no redundant or unnecessary tool calls. The tool call reasonably supported the final answer."
Can I start working on a homework before the final version is out?,96286b4be4,good,"The agent’s answer matches the ground truth. It correctly says you can work on it only at your own risk, and it includes the two readiness conditions: the form must be open and the title must not contain [DRAFT]. It also notes that draft content can change before the final version is released. This preserves the key information from the original answer.",good,"The single search query was relevant to the question and included key concepts like homework, draft, and final version. One tool call is reasonable here, and there were no unnecessary duplicates or obvious inefficiencies. The tool use supported the final answer adequately."
Why is the homework on the platform still different from what I saw earlier?,96286b4be4,good,"The agent answer matches the ground truth well. It correctly states that if the homework title contains [DRAFT], the homework is not ready yet, and that readiness requires both the form being open on the course platform and the title not containing [DRAFT]. It also captures the idea that the content can still change and that earlier versions may differ. The extra sentence about GitHub homework instructions is not in the ground truth, but it does not contradict the main answer.",good,"The search query was relevant to the user’s question and included the general idea of homework being different or updated. Only one search call was made, which is reasonable for this kind of FAQ lookup. The query was somewhat broad, but still appropriate, and there were no unnecessary duplicate searches."
When is llm-zoomcamp going to be offered again?,bd31146b0e,good,The agent answer matches the ground truth: it states that LLM Zoomcamp will be offered again in summer 2027. This contains the key information and is accurate.,good,"The single search query is relevant and includes the key terms from the question (llm-zoomcamp, offered again, next cohort schedule). One search call is sufficient for this simple factual question, and there are no unnecessary duplicate calls."
Do we know the next start date for this course?,bd31146b0e,good,The agent answer matches the ground truth exactly in meaning: it states the next start date is Summer 2027. This contains the key information and correctly answers the question.,good,"The single search query is relevant to the question and directly targets the next start date of the course. One search call is reasonable and sufficient here, and it supports the final answer well."
Is there a planned offering of the course in Summer 2027?,bd31146b0e,good,The agent answer matches the ground truth exactly in meaning: it states that the next planned offering is Summer 2027. This is the key information requested by the question.,good,"The search query was relevant and contained the key terms from the question ('planned offering', 'summer 2027', 'course'). Only one search was needed, and it reasonably supported the final answer."
When should I expect the next run of llm-zoomcamp?,bd31146b0e,bad,"The agent did not match the ground truth. The correct answer is 'Summer 2027,' but the agent said it could not find a specific date and then gave unrelated course availability and a current cohort link. That omits the key information required by the FAQ answer and is therefore incorrect.",good,"The search query was relevant to the question and used key terms like 'llm-zoomcamp' and 'next run.' Only one search was made, which is reasonable. However, the search did not lead to the correct FAQ answer, and the final response did not reflect the ground truth."
What’s the next time this course will be available?,bd31146b0e,good,The agent’s answer matches the ground truth exactly in meaning and content: it states that the next availability is Summer 2027. No missing or conflicting information.,good,"The single search query is relevant to the question and asks about the next available offering. While it did not include the exact course name, the question itself is generic and the query is reasonable. Only one search call was needed."
Where should I start if I want to find the course videos and lesson materials?,31456f4b5f,good,"The agent’s answer matches the ground truth well. It correctly identifies the LLM Zoomcamp GitHub repository as the main entry point and says to open the lesson folders where relevant videos are linked at the top. It also mentions lesson materials/notebooks, which is consistent with the original answer. The extra workflow steps are not in the ground truth but do not contradict it.",good,"The search query was broadly relevant to the question and contained some of the important concepts (course videos, lesson materials, start). Only one search call was made, which is reasonable for this simple lookup. The query was a bit generic, but it still supported the final answer."
"Do I need to check YouTube for the lectures, or is there a better place to look first?",31456f4b5f,good,"The agent’s answer matches the ground truth. It correctly says to check the GitHub repo first, identifies the LLM Zoomcamp GitHub repository as the main entry point, mentions that lesson folders contain the relevant video links, and notes that the repo is easier to keep updated than the YouTube playlist. This preserves the key information from the original answer.",good,"The tool call was reasonable and relevant. The search query targeted the core question about lectures and whether YouTube is the first place to look, which is appropriate for retrieving the FAQ answer. Only one search was used, which is sufficient here and not excessive."
How do I find the videos for each lesson in the LLM Zoomcamp course?,31456f4b5f,good,"The agent’s answer matches the ground truth well. It correctly says to use the LLM Zoomcamp GitHub repository as the main entry point, open the lesson folders, and look for the videos linked at the top of each lesson page. It also includes the recommendation to prefer the GitHub repo over the YouTube playlist because it is easier to keep updated. This contains the key information from the original answer.",good,"The single search query was relevant to the user’s question and included the important topic keywords (LLM Zoomcamp, videos, lesson). Only one tool call was made, which is reasonable here. The tool use supported the final answer."
Is there an official repo page that points to the lecture videos for every lesson?,31456f4b5f,good,"The agent answer matches the ground truth: it identifies the LLM Zoomcamp GitHub repository as the main entry point, says each lesson page/folder has the relevant videos linked at the top, and notes that the repo is preferred over the YouTube playlist because it is easier to keep updated. This contains the key information from the original answer.",good,"The single search query is relevant to the question and captures the core idea of an official repository page for lecture videos. One search call is sufficient here, and there were no unnecessary duplicate or excessive tool calls."
"If the YouTube playlist is out of date, where should I go to get the most current lesson links?",31456f4b5f,good,"The agent’s answer matches the ground truth. It correctly says to use the LLM Zoomcamp GitHub repository as the main entry point, notes that lesson folders contain the relevant video links at the top, and states that the repo is the most up-to-date source when the YouTube playlist is outdated.",good,"The search query was relevant to the question and targeted the key idea of an out-of-date YouTube playlist and current lesson links. Only one search was needed, and the tool usage was reasonable and sufficient for producing the final answer."
