question,answer_agent,answer_orig,tool_calls,cost,document
"Is the live session posted anywhere like Telegram, Slack, or YouTube before it begins?","Yes. The live session video link is typically posted in the announcements channel on Telegram and Slack **before it begins**. You can also watch it live on the DataTalksClub YouTube channel.

If you want, I can also point you to the Telegram channel link.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""live session posted Telegram Slack YouTube before begins""}'}]",0.00117525,489dd1c9d9
What’s the best way to begin the course if I’m new here and don’t want to miss anything?,"A good way to start is:

1. **Read the course repo and overview first** so you understand the structure and what’s coming.
2. **Set up your environment early** and make sure you can run the course materials before diving in.
3. **Work through the modules in order** and do the homework when you can — it’s recommended, though not required.
4. **Commit your work regularly** if you’re using Codespaces, so you don’t lose anything later.
5. If you want flexibility, **you don’t have to use OpenAI specifically** — the course supports alternatives if needed.

If you’d like, I can also help you with the **exact first steps for the course setup**.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""new student how to begin course don\'t miss anything getting started orientation first steps""}'}]",0.00182325,04919992b3
"Do I need to wait for a start date, or can I just jump into the LLM Zoomcamp materials whenever I want?","You can start whenever you want — there’s no need to wait for a start date. The videos and GitHub materials are available anytime.

A typical flow is:
1. Watch the lesson videos
2. Work through the notebooks/code
3. Read the homework instructions on GitHub
4. Submit homework through the course platform before the deadline

The deadlines and current cohort info are on the course management platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""start date jump into materials anytime LLM Zoomcamp""}'}]",0.0012540,04919992b3
"What’s the usual weekly routine for this course — video first, then notebooks, then homework?","Yes — the usual workflow is:

1. Watch the lesson videos  
2. Work through the lesson notebooks/code  
3. Read the homework instructions on GitHub  
4. Submit the homework on the course platform before the deadline

So your “video first, then notebooks, then homework” understanding is correct.

","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""usual weekly routine video notebooks homework weekly routine course order""}'}]",0.00127575,04919992b3
Where are the deadlines and homework instructions posted for the course?,"For this course, the **deadlines, homework, syllabus, and progress tracking** are posted on the **LLM Zoomcamp course management platform**:

- https://courses.datatalks.club/llm-zoomcamp-2026/

Also, the **detailed homework instructions** are often in the **course GitHub repo**, which can include extra context beyond the platform page.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""deadlines homework instructions posted course""}'}]",0.0013065,04919992b3
"Is the homework basically the same as the lesson exercises, or does it use different data/tasks?","The homework usually follows the lesson workflow, but it often uses a different dataset or asks you to apply the same idea in a slightly different way.

So: similar concept, not necessarily the exact same exercises or data.

If you’re working on Module 1, the FAQ also recommends checking the GitHub homework instructions in addition to the course platform page, since those often include important extra context.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""homework lesson exercises same data tasks different data homework exercises FAQ""}'}]",0.00132225,04919992b3
How do I find myself on the leaderboard if I can’t see my name there?,"If you can’t see your name on the leaderboard, you were likely assigned a random display name when your account was created.

To find your entry:
- Click **“Jump to your record on the leaderboard”** — this should take you directly to your row.
- If you want to check or change the name shown publicly, go to **“Edit Course Profile”**.

In that profile:
- The **first field** is your public display name/nickname on the leaderboard.
- The **second field** is your official name for the certificate.

If you want, I can also explain how to change the display name step by step.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""leaderboard can\'t see my name find myself""}'}]",0.0018435,c2903069a0
Why does the leaderboard show some random name instead of my real one?,"The leaderboard uses a separate public **display name**, which is assigned as a random nickname by default — not your certificate name. That’s why you may see something like “Lucid Elbakyan” instead of your real name.

You can change it in **Edit Course Profile**:
- **First field:** leaderboard/display name
- **Second field:** official name for your certificate

So your real name can stay on the certificate while the leaderboard remains anonymous.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""leaderboard random name instead of real one name shown leaderboard display name anonymous profile""}'}]",0.0017820,c2903069a0
Where can I check what display name I’m using for the course?,"You can check your display name by clicking **“Edit Course Profile”**.

In the course profile:
- **First field** = your **display name / nickname** shown on the leaderboard
- **Second field** = your **official name** for the certificate

If you want, I can also tell you how to find your record on the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""display name course what display name am I using""}'}]",0.0014490,c2903069a0
Can I change the name that appears on the leaderboard and in the course profile?,"Yes. In **Edit Course Profile**:

- **First field** = your **display name/nickname** shown on the **leaderboard**
- **Second field** = your **official name** used on the **certificate** and course profile

So you can change the leaderboard name separately from the certificate name.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""change name appears on leaderboard course profile display name leaderboard profile""}'}]",0.00121725,c2903069a0
How do I make sure the name on my certificate is my official name and not the default one?,"To make sure your certificate shows your official name, go to **Edit Course Profile** and update the **second field** to your official name exactly as it appears on your ID/passport.  

- **First field:** your public/display name for the leaderboard  
- **Second field:** the name printed on your certificate

If the second field still has the default name, that’s what will appear on the certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""certificate official name default name change name on certificate name on certificate official name""}'}]",0.0014265,c2903069a0
Can I do the course on my own schedule and still get the certificate?,"No — for this course, you can only get a certificate if you complete it with a live cohort.

The FAQ says self-paced learners don’t receive certificates because the course requires peer-reviewing 3 capstone projects, and that peer-review process is only available while the course is actively running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""own schedule self paced certificate course schedule certificate""}'}]",0.00113925,69d122f12e
"If I take the self-paced version, will I still receive a certificate at the end?","No — if you take the self-paced version, you won’t receive a certificate.

The course only awards certificates for students who finish with a live cohort, because the certificate requires peer-reviewing capstone projects, which is only possible while the course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""self-paced version certificate at the end""}'}]",0.00110175,69d122f12e
Do certificates count for students who join later and study without the live cohort?,"No. Certificates are only awarded if you finish the course with the live cohort.

If you join later and study in self-paced mode, you can still take the course, but you won’t get a certificate. The reason is that certificate eligibility depends on peer-reviewing capstone projects while the course is actively running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""certificates students join later study without live cohort certificates count self-paced later join cohort""}'}]",0.0012720,69d122f12e
Why isn’t there a certificate for self-paced learners in this course?,"There isn’t a certificate for self-paced learners because certificates are only awarded if you complete the course with a live cohort.

The reason is that the certificate requires peer-reviewing 3 capstone projects after you submit your own project, and that peer-review process is only available while the course is actively running. Once the submission form closes and the peer-review list is compiled, self-paced learners can’t complete that requirement.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""certificate self-paced learners course why isn’t there a certificate""}'}]",0.001185,69d122f12e
Is the certificate only available when the course is running live and peer review is open?,"Yes — for the certificate, you need to finish the course with a live cohort. The FAQ says certificates are **not** awarded in self-paced mode because you must **peer-review 3 capstone projects**, and that peer review is only possible while the course is running and the review form is open.

So the short answer is: **yes, certificate eligibility depends on the course being live and peer review being available.**","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""certificate available only when course is running live peer review open""}'}]",0.00135375,69d122f12e
Can I still get the course certificate if I skipped the first homework?,"Yes. Skipping the first homework does **not** prevent you from getting the course certificate.

According to the FAQ, you only need to **pass the Capstone project** to receive the certificate. Homework is **not mandatory**, though it is recommended for practice and contributes to your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""course certificate skipped first homework homework required certificate""}'}]",0.0011340,9f689c185f
"Is the first homework required for the certificate, or is the final project enough?","No — the first homework is **not required** for the certificate.  
You only need to **pass the Capstone/final project** to get the certificate. Homework is optional, though it’s recommended and counts toward your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""certificate homework final project required first homework enough""}'}]",0.001089,9f689c185f
Do I need to complete all homework assignments to receive the certificate?,"No. You do **not** need to complete all homework assignments to receive the certificate.

According to the FAQ, **homework is not mandatory** for the certificate. What you **do** need is to **pass the Capstone project**. Homework is recommended for practice and helps with leaderboard points, but it is not required for certification.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""certificate homework assignments required complete all homework to receive certificate""}'}]",0.0011430,9f689c185f
"If homework isn't mandatory, what do I need to pass to get certified?","To get certified, you need to **pass the Capstone project**. Homework is **not mandatory** for the certificate, though it is recommended for practice and leaderboard points.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""homework not mandatory pass certified certification requirements homework optional pass get certified""}'}]",0.00105525,9f689c185f
Does missing homework stop me from earning the certificate in this course?,"No — missing homework does **not** stop you from earning the certificate.

According to the course FAQ, homework is **not mandatory**. To get the certificate, you need to **pass the Capstone project**. Homework only affects your **leaderboard rank**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""missing homework certificate course policy homework certificate""}'}]",0.00111075,9f689c185f
Why does the homework content keep changing before it’s released?,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet. The homework is considered ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain `[DRAFT]`.

Until then, the content can still change. Working on it early is allowed, but it’s at your own risk because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework content changing before release FAQ""}'}]",0.0013395,96286b4be4
What does it mean when a homework title has [DRAFT] in it?,"If a homework title contains `[DRAFT]`, it means the homework is not ready yet.

A homework is considered ready only when both are true:
- the homework form is open on the course platform, and
- the title no longer contains `[DRAFT]`.

Until then, the content may still change, so working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework title [DRAFT] meaning""}'}]",0.001320,96286b4be4
How can I tell if a homework assignment is actually ready?,"A homework assignment is ready only when **both** of these are true:

- The homework form is open on the course management platform.
- The homework title **does not** contain **`[DRAFT]`**.

If the title still has **`[DRAFT]`**, it’s not ready yet, and the content may still change. Working on it early is possible, but it’s at your own risk because the final version can differ.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""how can I tell if a homework assignment is actually ready ready status assignment homework""}'}]",0.00148275,96286b4be4
Can I start working on a homework before the final version is out?,"Yes — but only at your own risk.

The homework is considered ready only when:
- the homework form is open on the course platform, and
- the homework title does **not** contain **[DRAFT]**.

If it’s still in draft, the content can change before the final version is released.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""start working on homework before final version is out draft homework version final version early work""}'}]",0.001314,96286b4be4
Why is the homework on the platform still different from what I saw earlier?,"The homework can still be different if the platform version is not final yet. In the FAQ, the key rule is:

- If the homework title contains **`[DRAFT]`**, it is **not ready yet**
- It is ready only when:
  - the homework form is open on the course platform, and
  - the title **does not** contain `[DRAFT]`

Until then, the content may change, so what you saw earlier may not match the latest version.

If you want, I can also point you to the GitHub homework instructions that often have the most up-to-date context.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework platform different from what I saw earlier homework updated different visible earlier""}'}]",0.0016305,96286b4be4
When is llm-zoomcamp going to be offered again?,LLM Zoomcamp is planned to be offered next in **summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""llm-zoomcamp offered again when next cohort schedule""}'}]",0.00101925,bd31146b0e
Do we know the next start date for this course?,The FAQ says the course will be offered next in **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next start date course""}'}]",0.00087375,bd31146b0e
Is there a planned offering of the course in Summer 2027?,Yes — the course FAQ says the next offering is **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""planned offering summer 2027 course""}'}]",0.00087075,bd31146b0e
